Cuadricula;Peso;Fecha;Sigma0;Sigma1;Sigma2;Sigma3;Sigma4;Sigma5;Sigma6;Sigma7;Sigma8;Sigma9;Sigma10;Sigma11;Sigma12;Sigma13;Sigma14;Sigma15;Sigma16;Sigma17;Sigma18;Sigma19;Sigma20;Sigma21;Sigma22;Sigma23
0;0;05/01/2025  4:15;0,02704067;0,01065608;0,03123191;0,03442466;0,01094830;0,01159449;0,01066904;0,01123021;0,01211411;0,01971693;0,00849505;0,01577766;0,01475794;0,00549842;0,00657118;0,01797287;0,00713833;0,00510953;0,00750830;0,00656345;0,00670227;0,01084317;0,00654015;0,00541302
0;0;05/01/2025  4:30;0,02830828;0,01111573;0,03114277;0,03615204;0,01140216;0,01153605;0,01114543;0,01171004;0,01206880;0,02069541;0,00882867;0,01573620;0,01506275;0,00559227;0,00655268;0,01829903;0,00728730;0,00475861;0,00772642;0,00668147;0,00678979;0,01109315;0,00665165;0,00547123
0;0;05/01/2025  4:45;0,02836847;0,01116200;0,03135376;0,03622288;0,01146221;0,01158527;0,01113477;0,01177383;0,01205771;0,02073302;0,00888681;0,01584573;0,01532077;0,00563151;0,00485723;0,01862943;0,00736626;0,00421423;0,00775309;0,00675470;0,00567575;0,01127116;0,00672566;0,00386820
0;0;05/01/2025  5:00;0,02663204;0,01048719;0,03182225;0,03392084;0,01075990;0,01167730;0,01054802;0,01103311;0,01189082;0,01943831;0,00835378;0,01603791;0,01445420;0,00540134;0,00646128;0,01762444;0,00700719;0,00451789;0,00746224;0,00643601;0,00667964;0,01063912;0,00641191;0,00539899
0;0;05/01/2025  5:15;0,02801783;0,01101214;0,03074938;0,03577461;0,01130235;0,01144906;0,01100971;0,01160832;0,01196483;0,02047512;0,00877055;0,01553330;0,01486619;0,00555922;0,00650459;0,01805297;0,00721620;0,00460027;0,00760103;0,00663278;0,00673690;0,01095746;0,00661248;0,00545079
0;0;05/01/2025  5:45;0,02800389;0,01100537;0,03053251;0,03575270;0,01129273;0,01138313;0,01099072;0,01159539;0,01181415;0,02047069;0,00874760;0,01542492;0,01521049;0,00559579;0,00608741;0,01849564;0,00731879;0,00534444;0,00773047;0,00671734;0,00634473;0,01119168;0,00668114;0,00490904
0;0;05/01/2025  6:00;0,02761838;0,01091837;0,03096365;0,03524305;0,01120683;0,01150332;0,01088295;0,01149441;0,01189473;0,02017588;0,00869670;0,01566113;0,01507903;0,00561262;0,00646090;0,01835878;0,00729683;0,00504533;0,00773659;0,00670610;0,00663475;0,01109571;0,00667102;0,00531823
0;0;05/01/2025  6:15;0,02741431;0,01079610;0,03091690;0,03492762;0,01107935;0,01150684;0,01081633;0,01139051;0,01201217;0,02001082;0,00860981;0,01562243;0,01504209;0,00551884;0,00647895;0,01831678;0,00721557;0,00473487;0,00763120;0,00662980;0,00671623;0,01105168;0,00659211;0,00536924
0;0;05/01/2025  6:30;0,02805733;0,01100663;0,03129531;0,03579806;0,01129603;0,01159563;0,01102311;0,01160541;0,01199653;0,02048891;0,00876288;0,01585009;0,01488264;0,00552295;0,00465032;0,01808312;0,00718666;0,00422925;0,00765635;0,00660507;0,00556671;0,01097640;0,00657541;0,00368150
0;0;05/01/2025  6:45;0,02788949;0,01099984;0,03069239;0,03555800;0,01128154;0,01147006;0,01098523;0,01158263;0,01198415;0,02036578;0,00876488;0,01553462;0,01513476;0,00559267;0,00634927;0,01842326;0,00728601;0,00454534;0,00770298;0,00668990;0,00670692;0,01113701;0,00666552;0,00532099
